Date,Open,High,Low,Close,Adj Close,Volume
2012-11-27,187.154541,188.545456,186.545456,188.045456,146.623337,3430838
2012-11-29,190.381821,198.145447,190.000000,196.681824,153.357315,2769112
2012-11-30,200.000000,200.854538,198.399994,199.745453,155.746094,1614772
2012-12-03,199.436356,202.545456,198.754547,200.409088,156.263550,2012333
2012-12-04,200.000000,204.227264,199.100006,203.481812,158.659439,1473432
2012-12-05,203.981812,205.090912,201.454544,203.509094,158.680710,1261974
2012-12-06,205.818176,207.909088,200.290909,206.372726,160.913528,1652843
2012-12-07,207.336365,208.000000,204.045456,205.609085,160.318115,1276043
2012-12-10,207.090912,207.272720,203.272720,203.818176,158.921677,1045708
2012-12-11,205.054550,208.909088,201.581818,204.072723,159.120163,1708695
2012-12-12,204.545456,205.890915,201.090912,202.318176,157.752106,1604740
2012-12-13,203.600006,205.972733,202.927277,203.936356,159.013824,1194841
2012-12-14,202.727264,207.090912,202.463638,206.600006,161.090759,2938941
2012-12-17,205.736359,208.909088,205.727264,207.927277,162.125656,892457
2012-12-18,208.727264,209.645447,203.145447,208.863632,162.855759,2087183
2012-12-19,209.818176,210.727264,205.936356,207.000000,161.402634,829707
2012-12-20,208.000000,208.100006,205.345459,206.936356,161.352997,703493
2012-12-21,206.363632,206.909088,203.509094,204.127274,159.162704,635728
2012-12-24,204.363632,205.345459,202.454544,203.863632,158.957123,700133
2012-12-26,204.290909,209.054550,203.909088,208.718185,162.742340,884399
2012-12-27,209.600006,209.818176,206.054550,206.809097,161.253754,905272
2012-12-28,207.272720,208.545456,205.327271,207.681824,161.934280,723535
2012-12-31,207.272720,207.963638,206.181824,206.781815,161.232513,486754
2013-01-01,208.545456,211.272720,207.827271,210.754547,164.330139,856091
2013-01-02,212.727264,213.818176,211.909088,213.263641,166.286530,976304
2013-01-03,214.009094,214.290909,211.836365,213.090912,166.151855,585073
2013-01-04,212.363632,215.409088,211.718185,214.945450,167.597885,894668
2013-01-07,215.490906,216.000000,214.018188,214.836365,167.512833,800854
2013-01-08,214.363632,214.936356,212.745453,214.418182,167.186783,576993
2013-01-09,214.181824,216.000000,213.372726,214.527267,167.271805,4086664
2013-01-10,215.454544,215.963638,211.181824,214.390915,167.165482,884586
2013-01-11,214.727264,215.272720,211.109085,211.872726,165.202011,680569
2013-01-14,210.909088,216.718185,210.909088,215.399994,167.952301,2292553
2013-01-15,215.418182,219.945450,213.627274,218.699997,170.525391,2098106
2013-01-16,218.181824,218.190903,213.672729,214.372726,167.151321,998282
2013-01-17,214.363632,215.745453,210.690903,211.390915,164.826340,877249
2013-01-18,212.527267,215.454544,212.000000,213.672729,166.605515,2101136
2013-01-21,214.181824,214.727264,211.836365,213.909088,166.789810,530029
2013-01-22,214.127274,217.181824,211.636368,212.836365,165.953369,1285563
2013-01-23,214.181824,216.527267,211.172729,214.636368,167.356888,1101418
2013-01-24,214.199997,215.736359,210.800003,211.609085,164.996460,1016278
2013-01-25,212.181824,214.663635,211.681824,213.227264,166.258179,667199
2013-01-28,213.236359,217.254547,213.236359,216.472733,168.788742,1056263
2013-01-29,217.272720,223.272720,214.863632,218.345459,170.248962,3484986
2013-01-30,219.090912,222.181824,218.909088,220.772720,172.141541,1251513
2013-01-31,219.763641,223.818176,215.800003,216.518188,168.824188,4631164
2013-02-01,217.272720,218.754547,212.281815,212.909088,166.010071,1683791
2013-02-04,215.600006,218.590912,214.054550,214.918182,167.576630,1955541
2013-02-05,212.490906,214.290909,211.290909,212.272720,165.513901,721308
2013-02-06,213.636368,213.636368,209.199997,209.972733,163.720566,1142189
2013-02-07,209.681824,212.136368,206.645447,208.199997,162.338287,1701133
2013-02-08,209.090912,209.090912,204.563629,205.472733,160.211792,1276780
2013-02-11,205.481812,206.300003,203.163635,204.100006,159.141434,1907537
2013-02-12,204.827271,206.181824,202.745453,205.290909,160.070038,1353631
2013-02-13,206.363632,208.436356,205.590912,207.736359,161.976776,1030693
2013-02-14,208.181824,209.090912,203.636368,204.336365,159.325745,892572
2013-02-15,204.545456,205.636368,202.381821,204.263641,159.269043,752058
2013-02-18,204.690903,205.454544,203.636368,203.945450,159.020920,754440
2013-02-19,204.545456,206.172729,202.727264,205.690903,160.381897,934697
2013-02-20,207.218185,207.218185,203.300003,203.754547,158.872086,1307206
